user,reply_content,date,IP_addr
['我叫李木木啊'],['库里常规赛场均24.3分4.7篮板6.5助攻'],['2022-06-10 17:10'],['江苏']
['吾来教尔等打铁'],['明显是库里，伦纳德常规赛累计的数据荣誉惨不忍睹'],['2022-06-10 17:44'],['江西']
['冠軍名宿'],['卡➗拿一个常规赛mvp，且今年库🐶不夺冠。就可以大于库🐶。常规赛荣誉太少了。'],['2022-06-10 17:46'],['四川']
['cloesunn'],['MVP还是很重要的，何况是全票'],['2022-06-10 17:46'],['浙江']
['厂公的太上皇丶'],['硬实力差距不大，奈何伦纳德被勇士那脚垫的，都还没感受最巅峰的身体，就强行被废了。'],['2022-06-10 17:56'],['河北']
[''],['全票mvp大于所有mvp库里真正3fmvp大于2fmvp'],['2022-06-10 18:02'],['辽宁']
['一壶酒25'],['都是太监的枪罢了'],['2022-06-10 18:04'],['河南']
['浮光年华'],['1V1的环境下单挑的话现役不下100人能虐库里。'],['2022-06-10 18:09'],['浙江']
['ghghg12558'],[''],['2022-06-10 18:44'],['浙江']
['zyy19840215'],['反正我挑面瘫'],['2022-06-10 18:57'],['广东']
['DIO猫和JO瑞'],['把别人废了跟别人比地位'],['2022-06-10 19:02'],['福建']
[''],['不被垫脚，肯定小卡地位高'],['2022-06-10 20:06'],['吉林']
['走出心魔'],['为啥小卡都两冠，两FMVP了，还拍不到前十呢，'],['2022-06-10 21:34'],['山东']
['目测帝kevin'],"['裤里没fmvp,轮休卡没mvp,都是有硬伤的球员，而且目前看来也没有可能再拿了。历史地位不宜高估，20名以后。']",['2022-06-10 22:04'],['上海']
['处女魔'],['必须莱治猩猩的你'],['2022-06-10 22:21'],['河南']
['xzh333222'],['肯定是库里啊  一个没有mvp一个没有fmvp  但是没有mvp的更致命点'],['2022-06-10 22:31'],['福建']
['zjh700918'],['单挑伦纳德能把库里屎打出来。'],['2022-06-10 22:36'],['陕西']
['2084761002cwy'],['差远了 mvp是重量级选项 相比之下fmvp量级没有那么高 当然酷狗是一个都没有就难说 比如贾巴尔邓肯伯德也不是全拿的'],['2022-06-10 22:55'],['广东']
[''],['小卡把酷狗揍出💩了，但荣誉还差点'],['2022-06-10 23:02'],['上海']
['gmw19821224'],['面瘫治摇头'],['2022-06-10 23:05'],['浙江']
['阿杜点赞专用号'],['杜汉奸是垫脚小卡的最大受益者，没有渣渣，杜汉奸的历史地位下降20名。'],['2022-06-10 23:06'],['广西']
['彦宏荃家暴毙'],['地位阿库高，常规赛阿库猛，季后赛卡子猛，但是卡子脆，那么卡子为什么会脆呢'],['2022-06-10 23:15'],['上海']
['太o监o猎o手'],['一攻一防，两个人是极致的反差，莱昂纳德终其一生常规赛没有亮眼表现，特点不是联赛型球员，是杯赛型球员，库里常规赛有上佳发挥但总决赛总是暴露身体的缺陷'],['2022-06-10 23:22'],['山西']
['sxb520ssfg'],['库里明显高'],['2022-06-10 23:34'],['安徽']
['princemast'],['常规赛裤衩子，季后赛小卡把裤衩子爆出💩'],['2022-06-10 23:44'],['湖北']
['aasdfshuf'],['伦纳德前20都没还来碰瓷？'],['2022-06-11 00:26'],['福建']
['王老魔Devil'],['现在伦纳德都能碰瓷库里了么'],['2022-06-11 00:44'],['山西']
['BJLEON'],['单挑直接爆了'],['2022-06-11 00:55'],['辽宁']
['告别黑暗'],['伦纳德的单防能力是篮球这项运动最近20年最强，没有之一'],['2022-06-11 00:56'],['江苏']
['sweet丶lift'],['杜罕见冠军含金量怕是不如小卡 就这还历史第十到20 混2冠军真当自己行了'],['2022-06-11 02:01'],['上海']
